hour,shape,percent
0,triangle,15.56%
1,triangle,16.66%
2,triangle,16.72%
3,triangle,16.50%
4,triangle,14.32%
5,triangle,12.40%
6,triangle,12.97%
7,triangle,8.58%
8,triangle,10.43%
9,triangle,12.98%
10,triangle,12.25%
11,triangle,13.01%
12,triangle,10.38%
13,triangle,9.67%
14,triangle,6.54%
15,triangle,8.62%
16,triangle,7.99%
17,triangle,9.26%
18,triangle,12.25%
19,triangle,13.43%
20,triangle,13.41%
21,triangle,13.77%
22,triangle,14.87%
23,triangle,16.52%
0,sphere,8.43%
1,sphere,6.89%
2,sphere,7.51%
3,sphere,8.02%
4,sphere,8.27%
5,sphere,7.29%
6,sphere,8.79%
7,sphere,8.19%
8,sphere,9.36%
9,sphere,11.42%
10,sphere,12.25%
11,sphere,10.66%
12,sphere,15.44%
13,sphere,14.94%
14,sphere,20.49%
15,sphere,18.02%
16,sphere,17.72%
17,sphere,11.96%
18,sphere,8.22%
19,sphere,8.94%
20,sphere,8.30%
21,sphere,8.28%
22,sphere,7.77%
23,sphere,7.11%
0,oval,5.95%
1,oval,6.45%
2,oval,7.03%
3,oval,7.28%
4,oval,5.82%
5,oval,5.83%
6,oval,5.86%
7,oval,9.75%
8,oval,10.21%
9,oval,8.30%
10,oval,8.36%
11,oval,9.40%
12,oval,9.84%
13,oval,10.53%
14,oval,9.88%
15,oval,8.62%
16,oval,9.63%
17,oval,8.54%
18,oval,6.79%
19,oval,5.65%
20,oval,5.39%
21,oval,5.04%
22,oval,5.38%
23,oval,5.71%
0,light,27.94%
1,light,29.18%
2,light,28.19%
3,light,31.24%
4,light,32.36%
5,light,36.56%
6,light,32.22%
7,light,21.25%
8,light,23.19%
9,light,17.30%
10,light,19.16%
11,light,16.30%
12,light,10.52%
13,light,7.54%
14,light,6.83%
15,light,9.40%
16,light,14.55%
17,light,20.83%
18,light,27.05%
19,light,29.72%
20,light,31.51%
21,light,31.28%
22,light,32.00%
23,light,31.36%
0,formation,4.22%
1,formation,4.25%
2,formation,3.63%
3,formation,2.67%
4,formation,4.54%
5,formation,3.54%
6,formation,2.65%
7,formation,2.92%
8,formation,2.98%
9,formation,2.77%
10,formation,3.17%
11,formation,3.29%
12,formation,2.73%
13,formation,3.84%
14,formation,2.33%
15,formation,3.22%
16,formation,3.39%
17,formation,4.53%
18,formation,3.62%
19,formation,3.86%
20,formation,5.15%
21,formation,4.67%
22,formation,4.67%
23,formation,4.02%
0,fireball,9.87%
1,fireball,8.33%
2,fireball,9.37%
3,fireball,9.40%
4,fireball,6.98%
5,fireball,8.33%
6,fireball,8.09%
7,fireball,9.94%
8,fireball,9.36%
9,fireball,9.34%
10,fireball,9.08%
11,fireball,5.49%
12,fireball,4.51%
13,fireball,3.13%
14,fireball,3.05%
15,fireball,2.06%
16,fireball,7.33%
17,fireball,9.13%
18,fireball,11.59%
19,fireball,12.22%
20,fireball,12.12%
21,fireball,13.89%
22,fireball,12.23%
23,fireball,11.19%
0,disk,7.82%
1,disk,9.21%
2,disk,8.00%
3,disk,8.76%
4,disk,8.38%
5,disk,6.98%
6,disk,8.09%
7,disk,13.26%
8,disk,12.55%
9,disk,11.42%
10,disk,10.66%
11,disk,15.20%
12,disk,18.85%
13,disk,22.62%
14,disk,21.22%
15,disk,20.08%
16,disk,13.02%
17,disk,11.30%
18,disk,11.96%
19,disk,7.88%
20,disk,6.99%
21,disk,5.85%
22,disk,5.71%
23,disk,6.17%
0,circle,14.91%
1,circle,12.63%
2,circle,12.60%
3,circle,10.78%
4,circle,12.46%
5,circle,12.50%
6,circle,13.95%
7,circle,12.67%
8,circle,11.28%
9,circle,16.26%
10,circle,14.84%
11,circle,15.67%
12,circle,14.07%
13,circle,14.08%
