city,state,latitude,longitude
san marcos,tx,29.8830556,-97.9411111
edna,tx,28.9783333,-96.6458333
kaneohe,hi,21.4180556,-157.8036111
bristol,tn,36.595,-82.1888889
norwalk,ct,41.1175,-73.4083333
pell city,al,33.5861111,-86.2861111
live oak,fl,30.2947222,-82.9841667
hawthorne,ca,33.9163889,-118.3516667
brevard,nc,35.2333333,-82.7344444
bellmore,ny,40.6686111,-73.5275
manchester,ky,37.1536111,-83.7619444
lexington,nc,35.8238889,-80.2536111
harlan county,ky,36.8430556,-83.3219444
west bloomfield,mi,42.5377778,-83.2330556
niantic,ct,41.3252778,-72.1936111
hudson,ma,42.3916667,-71.5666667
hudson,ks,38.1055556,-98.6597222
north charleston,sc,32.8544444,-79.975
washougal,wa,45.5827778,-122.3522222
san antonio,tx,29.4238889,-98.4933333
louisville,ky,38.2541667,-85.7594444
elmont,ny,40.7008333,-73.7133333
poughkeepsie,ny,41.7002778,-73.9213889
san diego,ca,32.7152778,-117.1563889
security,co,38.7583333,-104.7425
houston,tx,29.7630556,-95.3630556
dallas,tx,32.7833333,-96.8
manchester,nh,42.9955556,-71.4552778
houston,tx,29.7630556,-95.3630556
traverse city,mi,44.7630556,-85.6205556
white plains,ny,41.0338889,-73.7633333
milwaukee,wi,43.0388889,-87.9063889
new gloucester,me,43.9627778,-70.2830556
boulder,co,40.015,-105.27
seattle (ballard area),wa,47.6063889,-122.3308333
calabasas,ca,34.1577778,-118.6375
centralia,wa,46.7163889,-122.9530556
ashburn,ga,31.7058333,-83.6533333
frisco,nc,35.235,-75.6288889
harrisburg,pa,40.2736111,-76.8847222
panama city,fl,30.1586111,-85.6602778
stafford,tx,29.6158333,-95.5575
seymour,tn,35.8905556,-83.7247222
weatherford,tx,32.7591667,-97.7969444
peoria,il,40.6936111,-89.5888889
carthage,tn,36.2522222,-85.9516667
burnt hills,ny,42.9097222,-73.8955556
pinebergen,ar,34.1027778,-91.9922222
milwaukee,wi,43.0388889,-87.9063889
oakland,ca,37.8044444,-122.2697222
higginsville,mo,39.0725,-93.7169444
charleston,sc,32.7763889,-79.9311111
monroe county,oh,39.4402778,-84.3622222
connersville,in,39.6411111,-85.1411111
mesa,az,33.4222222,-111.8219444
bonaire,ga,32.5436111,-83.5961111
austin,mn,43.6666667,-92.9744444
hollywood,ca,34.0983333,-118.3258333
phoenix (north part),az,33.4483333,-112.0733333
elgin,il,42.0372222,-88.2811111
las vegas,nv,36.175,-115.1363889
las vegas,nv,36.175,-115.1363889
spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),wa,47.6588889,-117.425
mooresville,nc,35.5847222,-80.8102778
delano,tn,35.265,-84.5533333
martinez,ca,38.0194444,-122.1330556
kansas city,ks,39.1141667,-94.6272222
dallas,tx,32.7833333,-96.8
san diego,ca,32.7152778,-117.1563889
kennewick,wa,46.2113889,-119.1361111
hayward,ca,37.6688889,-122.0797222
rachel,nv,37.6447222,-115.7427778
humphrey,ne,41.6916667,-97.4841667
elgin,or,45.565,-117.9163889
lewiston,mi,44.8838889,-84.3055556
perryville,mo,37.7241667,-89.8611111
boynton beach,fl,26.525,-80.0666667
brinktown,mo,38.1266667,-92.0844444
florence,ky,38.9988889,-84.6266667
seattle (west),wa,47.6063889,-122.3308333
port orchard,wa,47.5405556,-122.635
rockwell city,ia,42.3952778,-94.6336111
hayward,ca,37.6688889,-122.0797222
ottumwa,ia,41.0041667,-92.3736111
fresno,ca,36.7477778,-119.7713889
phoenix,az,33.4483333,-112.0733333
virginia beach,va,36.8527778,-75.9783333
hayward,wi,46.0130556,-91.4844444
philomath,or,44.5402778,-123.3663889
seattle,wa,47.6063889,-122.3308333
cincinnati,oh,39.1619444,-84.4569444
portland,or,45.5236111,-122.675
alhambra,ca,34.0952778,-118.1261111
indianapolis,in,39.7683333,-86.1580556
centreville,va,38.8402778,-77.4291667
grand view,id,42.9897222,-116.0925
temperance,mi,41.7791667,-83.5688889
crescent beach,sc,33.8075,-78.7011111
albuquerque,nm,35.0844444,-106.6505556
gleason,wi,45.3088889,-89.4963889
mahwah,nj,41.0886111,-74.1441667
terre haute,in,39.4666667,-87.4138889
indianapolis,in,39.7683333,-86.1580556
morgantown,wv,39.6294444,-79.9561111
berkeley,ca,37.8716667,-122.2716667
rock island,il,41.5094444,-90.5786111
ripley,ny,42.2669444,-79.7108333
faribault,mn,44.295,-93.2686111
mansfield,oh,40.7583333,-82.5155556
columbia,mo,38.9516667,-92.3338889
gleason,wi,45.3088889,-89.4963889
seattle,wa,47.6063889,-122.3308333
apache junction,az,33.415,-111.5488889
north miami beach,fl,25.9327778,-80.1627778
los angeles,ca,34.0522222,-118.2427778
loretto,pa,40.5030556,-78.6305556
lewisburg,tn,35.4491667,-86.7888889
north miami beach,fl,25.9327778,-80.1627778
east wenatchee,wa,47.4158333,-120.2919444
hendersonville,nc,35.3186111,-82.4611111
brainerd,mn,46.3580556,-94.2005556
pennington,tx,31.1911111,-95.2352778
san francisco,ca,37.775,-122.4183333
blairsville,ga,34.8761111,-83.9583333
savannah,tn,35.2247222,-88.2491667
waynesboro,va,38.0683333,-78.8897222
bray,ok,34.6377778,-97.8172222
waycross,ga,31.2133333,-82.3541667
