Month,Day,Shape,State,Records_x
April,1,circle,ca,20
April,1,circle,fl,18
April,1,disk,tx,12
April,2,fireball,ca,13
April,2,light,ny,8
April,2,cylinder,tx,6
April,3,light,az,6
April,3,circle,ca,14
April,3,light,fl,7
April,4,light,ca,15
April,4,circle,fl,12
April,4,diamond,pa,5
April,5,light,ca,22
April,5,triangle,fl,14
April,5,triangle,tx,10
April,6,triangle,az,8
April,6,triangle,ca,9
April,6,light,tx,9
April,7,light,ca,13
April,7,light,fl,14
April,7,triangle,tx,9
April,8,circle,ca,15
April,8,changing,fl,6
April,8,light,wa,13
April,9,light,ca,22
April,9,light,ga,7
April,9,cylinder,nc,8
April,10,light,ca,22
April,10,light,fl,11
April,10,sphere,tx,11
April,11,light,ca,16
April,11,sphere,fl,10
April,11,light,wa,6
April,12,light,ca,18
April,12,light,fl,10
April,12,light,oh,7
April,13,light,ca,14
April,13,light,fl,5
April,13,changing,wa,6
April,14,light,az,11
April,14,fireball,ca,19
April,14,changing,ny,8
April,15,sphere,az,11
April,15,light,ca,32
April,15,fireball,fl,11
April,16,light,ca,17
April,16,light,in,22
April,16,disk,ny,9
April,17,light,ca,21
April,17,light,fl,8
April,17,light,pa,9
April,18,oval,az,7
April,18,light,ca,18
April,18,triangle,fl,7
April,19,light,ca,13
April,19,fireball,fl,8
April,19,circle,mi,8
April,20,triangle,ca,14
April,20,disk,fl,9
April,20,light,wa,10
April,21,formation,az,12
April,21,oval,ca,18
April,21,circle,wa,10
April,22,light,ca,17
April,22,cigar,fl,10
April,22,light,wa,18
April,23,light,ca,15
April,23,light,fl,12
April,23,triangle,ny,8
April,24,circle,ca,20
April,24,triangle,fl,8
April,24,light,wa,8
April,25,circle,ca,14
April,25,light,fl,8
April,25,fireball,tx,7
April,26,light,ca,12
April,26,sphere,fl,8
April,26,disk,tx,11
April,27,fireball,ca,12
April,27,light,fl,8
April,27,light,wa,16
April,28,light,az,11
April,28,light,ca,12
April,28,cigar,wa,9
April,29,circle,ca,11
April,29,light,fl,34
April,29,changing,or,11
April,30,sphere,ca,14
April,30,triangle,tx,8
April,30,formation,wa,10
August,1,light,ca,47
August,1,circle,ny,18
August,1,light,tx,17
August,2,light,ca,18
August,2,light,fl,8
August,2,fireball,or,9
August,3,light,ca,17
August,3,light,tx,12
August,3,light,wa,11
August,4,light,az,10
August,4,disk,ca,9
August,4,light,ny,9
August,5,light,ca,20
August,5,light,fl,9
August,5,circle,wa,12
August,6,light,ca,25
August,6,circle,fl,9
August,6,light,pa,8
August,7,light,az,10
August,7,disk,ca,20
August,7,fireball,fl,16
August,8,circle,ca,18
August,8,sphere,ny,12
August,8,disk,tx,12
August,9,light,ca,19
August,9,triangle,tx,8
August,9,cigar,wa,12
August,10,disk,ca,25
August,10,light,tx,17
August,10,light,wa,19
August,11,light,ca,25
August,11,light,mi,13
August,11,light,wa,14
August,12,light,ca,28
August,12,fireball,oh,14
August,12,light,wa,16
August,13,light,ca,26
August,13,light,il,12
August,13,light,wa,21
August,14,disk,ca,16
August,14,disk,il,10
August,14,light,wa,24
August,15,light,ca,52
August,15,light,tx,26
August,15,disk,wa,29
August,16,triangle,ca,26
August,16,light,ny,8
August,16,light,wa,9
August,17,light,ca,23
August,17,light,il,14
August,17,light,mi,10
August,18,circle,ca,23
August,18,circle,mi,11
August,18,light,wa,18
August,19,circle,ca,18
August,19,light,mn,13
August,19,circle,wa,12
August,20,light,ca,35
August,20,cylinder,ny,15
August,20,light,wa,17
August,21,triangle,ca,20
August,21,light,il,37
August,21,light,wa,15
August,22,circle,ca,16
August,22,light,mn,7
August,22,cigar,tx,13
August,23,light,az,6
August,23,light,ca,26
August,23,fireball,ia,6
August,24,light,ca,27
August,24,circle,ny,14
August,24,fireball,wa,13
August,25,triangle,ca,21
August,25,fireball,ny,12
August,25,light,wa,16
August,26,light,ca,22
August,26,fireball,ny,9
August,26,light,tx,11
August,27,light,ca,19
August,27,light,tx,9
August,27,light,wa,19
August,28,triangle,ca,25
August,28,oval,ny,13
August,28,fireball,wa,15
August,29,light,ca,21
August,29,oval,ny,8
August,29,changing,tx,6
August,30,light,ca,27
August,30,fireball,fl,9
August,30,circle,ny,8
August,31,light,ca,24
August,31,light,il,12
August,31,light,ny,15
December,1,light,ca,20
December,1,light,fl,14
December,1,fireball,tx,19
December,2,circle,ca,22
December,2,light,in,7
December,2,circle,pa,7
December,3,circle,ca,19
December,3,fireball,fl,20
December,3,oval,tx,10
December,4,light,az,6
December,4,light,ca,10
December,4,light,il,6
December,5,circle,ca,17
December,5,light,fl,8
December,5,circle,wa,7
December,6,light,ca,22
December,6,rectangle,fl,11
December,6,fireball,wa,9
December,7,circle,ca,15
December,7,triangle,fl,13
December,7,light,pa,9
December,8,changing,ca,8
December,8,light,fl,7
December,8,fireball,wa,11
December,9,light,az,7
December,9,light,ca,11
December,9,circle,il,7
December,10,light,ca,18
December,10,fireball,fl,14
December,10,disk,va,7
December,11,light,ca,17
December,11,fireball,fl,7
December,11,light,tx,8
December,12,light,ca,18
December,12,sphere,co,7
December,12,light,wa,8
December,13,light,ca,18
December,13,fireball,co,11
December,13,light,fl,13
December,14,circle,ca,16
December,14,light,fl,6
December,14,sphere,nc,6
December,15,light,ca,24
December,15,light,fl,11
December,15,circle,pa,11
December,16,fireball,ca,14
December,16,disk,fl,8
December,16,changing,oh,8
December,17,light,ca,15
December,17,fireball,fl,15
December,17,fireball,ga,6
December,18,light,ca,21
December,18,circle,fl,15
December,18,fireball,wa,7
December,19,light,az,5
December,19,light,ca,8
December,19,circle,fl,9
December,20,disk,ca,15
December,20,triangle,fl,7
December,20,light,tx,5
December,21,triangle,ca,8
December,21,fireball,fl,9
December,21,sphere,wa,9
December,22,formation,az,5
December,22,light,ca,13
December,22,light,pa,6
December,23,circle,ca,22
December,23,circle,fl,9
December,23,light,wa,8
December,24,circle,ca,25
December,24,fireball,fl,22
December,24,light,pa,11
December,25,light,ca,16
December,25,fireball,fl,27
December,25,light,ny,9
December,26,fireball,ca,14
December,26,circle,fl,9
December,26,formation,ny,6
December,27,triangle,ca,17
December,27,fireball,fl,10
December,27,flash,pa,8
December,28,circle,ca,13
December,28,fireball,fl,9
December,28,light,tx,10
December,29,light,ca,10
December,29,fireball,fl,12
December,29,light,nc,7
December,30,circle,ca,25
December,30,circle,fl,8
December,30,disk,ny,5
December,31,light,ca,63
December,31,circle,fl,36
December,31,fireball,wa,21
February,1,light,ca,27
February,1,triangle,fl,12
February,1,circle,tx,13
February,2,light,ca,18
February,2,light,fl,12
February,2,light,wa,12
February,3,disk,az,5
February,3,light,ca,13
February,3,circle,fl,8
February,4,circle,az,10
February,4,light,ca,14
February,4,circle,tx,11
February,5,light,ca,18
February,5,circle,fl,5
February,5,sphere,wa,10
February,6,triangle,az,14
February,6,triangle,ca,19
February,6,changing,ny,8
February,7,light,ca,12
February,7,light,fl,4
February,7,disk,wa,8
February,8,light,ca,18
February,8,circle,fl,10
February,8,circle,ny,7
February,9,circle,ca,26
February,9,triangle,mi,7
February,9,cylinder,wa,9
February,10,circle,ca,19
February,10,fireball,fl,9
