name,lat,lon
New Boston AS,42.9370925829,-71.6412487438
Ellsworth AFB Site   1,44.1512698546,-103.09266663700001
Avon Park AF Range,27.6469986418,-81.2771811934
Buckley AFB,39.706681969899996,-104.757734554
Tinker AFB,35.419243226300004,-97.3929111652
Jackson IAP Thompson Field,32.325181559099995,-90.0825609857
Des Moines IAP,41.5443548554,-93.66606209
Homestead ARB,25.494428254899997,-80.3914982363
Point Arena AFS,38.8918404696,-123.546574105
Lackland AFB,29.386706045100002,-98.6180830931
Atlantic City IAP,39.44817481,-74.5813952133
Barnes MAP (ANG),42.1693653615,-72.7179961808
Gen Mitchell IAP,42.9410456217,-87.8879842837
Lincoln MAP,40.841020615,-96.75387217709999
Elmendorf AFB,61.2697996076,-149.811187588
Kelly Field Annex,29.380136646799997,-98.5854145343
Goodfellow AFB,31.4319069863,-100.404456063
Boise Air Terminal (ANG),43.5568770642,-116.222460403
Nashville IAP,36.1109974019,-86.6749742271
Springfield Beckley MAP,39.8491286823,-83.8355177154
Toledo/Exp Airport,41.5865259258,-83.7919651408
Minneapolis-St Paul,44.8903961018,-93.20249825329999
Camp Bullis,29.691078619899997,-98.56166357209999
Cannon AFB,34.386452423099996,-103.317531569
Cavalier AS,48.724530931400004,-97.9030701569
Cannon AFB Site  2,34.4091911122,-103.32824596299999
Canyon Lake Recreation Annex,29.8854754904,-98.2185402692
Arbuckle Airfield,27.6501685196,-81.343733708
USAF Academy,38.9984995403,-104.870076577
Reno Tahoe IAP,39.50014947,-119.775232457
Fresno Yosemite International (ANG),36.7665265085,-119.710414194
Francis S. Gabreski Airport,40.8370069271,-72.643318885
Vance AFB,36.3418127439,-97.911637541
Kirtland AFB,34.9952408894,-106.48785694
Tulelake Radar Site,41.7040110811,-121.17123325700001
March AFB,33.889844345,-117.286408528
Peterson AFB,38.6172253369,-104.80774381799999
Altus AFB,34.668785775100005,-99.2708984387
McGuire,40.0256304054,-74.58031763529999
Bradley IAP,41.934991703200005,-72.7012570891
Portland IAP,45.5789536542,-122.595926152
Schriever AFB,38.8024223353,-104.516174493
The Barry M Goldwater Air Force Range,32.640615070100004,-113.055868336
Barksdale AFB,32.5002809582,-93.5999413405
Rickenbacker IAP (ANG),39.8128368963,-82.9437124972
Ellington Field,29.6160801417,-95.1704814148
Kegelman Air Force Auxiliary Field,36.7373309553,-98.1202331113
Seymour Johnson AFB,35.3479202145,-77.9625117006
Tonopah AFS,38.131207691,-117.20338597799999
Grand Forks AFB,47.955455854700006,-97.3912502958
JBSA-Medina Annex,29.368755701599998,-98.6650122626
Burlington IAP,44.4744278549,-73.1478968169
Eglin AFB Auxiliary Field  3,30.6490705604,-86.5276912133
Brooks AFB,29.342771863899998,-98.43969921440001
Verona Test Annex,43.147244398599994,-75.6152283942
Haarp Research Station,62.4083568593,-145.155004797
Yukon Weapons Range,64.7683838415,-146.889488292
Jacksonville IAP,30.486392313499998,-81.7054402836
EWVRA Shepherd Field,39.4060115621,-77.9845939325
Louisville IAP-Standiford,38.1779889015,-85.7237952525
Melrose Air Force Range,34.2860779351,-103.779518148
Fort Richardson,61.265674243199996,-149.641106773
Hurlburt Field,30.4291969826,-86.69871211200001
Patrick AFB,28.2338726202,-80.608007316
Klamath Falls Airport-Kingsley Field (ANG),42.1596656456,-121.73798671200001
Joe Foss Field,43.5802151368,-96.74421264860001
Capital Airport,39.847893748800004,-89.6677190978
Dobbins ARB,33.9151647934,-84.5156749646
Scott AFB,38.5414818076,-89.8537036559
Mountain Home AFB,43.048934923699996,-115.865866057
Defense Fuel Support Point,47.9486816233,-97.08605323809999
Nellis Air Force Range,37.3057452763,-116.17199843799999
Vandenberg AFB,34.7135684289,-120.558133151
Cape Canaveral AFS,28.4868272444,-80.567111287
Salt Lake City IAP,40.7894725143,-111.95666600700001
Seguin Air Force Auxiliary Field,29.5647013816,-97.9056493053
Fort Fisher Recreation Site,33.9811765342,-77.9163007268
Saylor Creek Air Force Range,42.7403822556,-115.56374449399999
Little Mountain Test Annex,41.2523680312,-112.246510146
Newington Defense Fuel Support Point,43.1138099129,-70.8147657452
Bonito Lake System Annex,33.3188794952,-105.94199533700001
Mather AFB,38.5503468609,-121.278566709
Robins AFB,32.6454087078,-83.604766896
Grissom ARB,40.654055043,-86.15141709219999
Pittsburgh IAP (ARS),40.4930422845,-80.2105033576
Bellows AFS,21.362725638900002,-157.715773796
Eareckson AS,52.721036906,174.10714007400003
The Farish Memorial Recreational Annex,38.999159681799995,-104.999644284
Wright-Patterson AFB,39.817368384,-84.0507037404
Plattsburg AFB,44.6571484481,-73.4633739029
Kennedy Space Center Communications,28.568384367800004,-80.5959094229
Maxwell AFB,32.383000035100004,-86.3562660173
Fort Sam Houston,29.4595258058,-98.4407060608
Birmingham Airport,33.5700055076,-86.754395003
Yeager Airport,38.3731944221,-81.58951940770001
Chena River Research Site,64.8282739808,-146.969859025
Gila Bend Air Force Auxiliary Field,32.890154532,-112.72818442799999
Tinker Support Annex,35.403696562,-97.3603027828
Tinker Aerospace Complex,35.3943672204,-97.3971588172
NWS Charleston Short Stay,33.2559394983,-79.9888973082
Pillar Point AFS,37.499092478499996,-122.497780579
Andrews AFB,38.805160992,-76.8744374247
Rome Laboratory,43.2214961422,-75.4097019987
Maxwell AFB Gunter Annex,32.4070016151,-86.24626001889999
Volk ANGB,43.9362177907,-90.2544823086
Grissom AFB,40.6612430627,-86.1426433901
Charleston AFB,32.89932731,-80.0504311436
JBSA-Port Annex,29.3820164194,-98.5645369806
Cheyenne Regional Apt,41.1618656371,-104.82036343700001
Bangor IAP,44.8169231515,-68.82580046460001
