County,Populations
Autauga County,55246
Baldwin County,195540
Barbour County,27076
Bibb County,22512
Blount County,57872
Bullock County,10639
Butler County,20265
Calhoun County,116736
Chambers County,34162
Cherokee County,26203
Chilton County,43951
Choctaw County,13426
Clarke County,25207
Clay County,13486
Cleburne County,14994
Coffee County,50938
Colbert County,54520
Conecuh County,12887
Coosa County,10898
Covington County,37886
Crenshaw County,13986
Cullman County,80811
Dale County,49884
Dallas County,41996
DeKalb County,71013
Elmore County,80902
Escambia County,37983
Etowah County,103931
Fayette County,16909
Franklin County,31532
Geneva County,26727
Greene County,8744
Hale County,15406
Henry County,17296
Houston County,103668
Jackson County,52951
Jefferson County,659479
Lamar County,14236
Lauderdale County,92797
Lawrence County,33587
Lee County,150933
Limestone County,88845
Lowndes County,10703
Macon County,19688
Madison County,346892
Marengo County,20155
Marion County,30334
Marshall County,94760
Mobile County,414079
Monroe County,22236
Montgomery County,226659
Morgan County,119787
Perry County,10020
Pickens County,19401
Pike County,33339
Randolph County,22727
Russell County,59585
St. Clair County,86308
Shelby County,204180
Sumter County,13361
Talladega County,81096
Tallapoosa County,41203
Tuscaloosa County,200821
Walker County,65998
Washington County,16877
Wilcox County,11307
Winston County,24146
Aleutians East Borough[d],3092
Aleutians West Census Area[e],5511
"Anchorage, Municipality of[d][f]",300950
Bethel Census Area[e],17758
Bristol Bay Borough[d],960
Denali Borough[d],1867
Dillingham Census Area[e],5010
Fairbanks North Star Borough[d],100436
Haines Borough[d],2592
Hoonah–Angoon Census Area[e],2145
"Juneau, City and Borough of[d][g]",32660
Kenai Peninsula Borough[d],57147
Ketchikan Gateway Borough[d],13729
Kodiak Island Borough[d],14135
Lake and Peninsula Borough[d],1648
Matanuska-Susitna Borough[d],95192
Nome Census Area[e],9892
North Slope Borough[d],9686
Northwest Arctic Borough[d],7685
Petersburg Borough[d][h],3774
Prince of Wales – Hyder Census Area[e],5786
"Sitka, City and Borough of[d][i]",9020
"Skagway, Municipality of[d]",995
Southeast Fairbanks Census Area[e],6985
Valdez–Cordova Census Area[e],9763
Kusilvak Census Area[e],7977
"Wrangell, City and Borough of[d]",2400
"Yakutat, City and Borough of[d][j]",642
Yukon–Koyukuk Census Area[e],5695
Eastern District[12],23030
Manu'a District[12],1143
Rose Atoll (Rose Island)[12],0
Swains Island[12],17
Western District[12],31329
Apache County,71934
Cochise County,129473
Coconino County,136539
Gila County,53053
Graham County,37482
Greenlee County,9049
La Paz County,20324
Maricopa County,4009412
Mohave County,203030
Navajo County,107322
Pima County,996554
Pinal County,389350
Santa Cruz County,46768
Yavapai County,215133
Yuma County,201201
Arkansas County,18777
Ashley County,21283
Baxter County,40957
Benton County,237297
Boone County,37396
Bradley County,11249
Calhoun County,5241
Carroll County,27808
Chicot County,11335
Clark County,22743
Clay County,15402
Cleburne County,25686
Cleveland County,8593
Columbia County,24164
Conway County,21245
Craighead County,101488
Crawford County,61640
Crittenden County,49746
Cross County,17548
Dallas County,7933
Desha County,12505
Drew County,18785
Faulkner County,119580
Franklin County,18034
Fulton County,12304
Garland County,97173
Grant County,18019
Greene County,43097
Hempstead County,22474
Hot Spring County,33500
Howard County,13581
Independence County,36997
Izard County,13368
Jackson County,17615
Jefferson County,73191
Johnson County,25846
Lafayette County,7252
Lawrence County,17011
Lee County,10015
Lincoln County,14031
Little River County,12730
Logan County,22082
Lonoke County,70753
Madison County,15701
Marion County,16430
Miller County,43402
Mississippi County,44765
Monroe County,7682
Montgomery County,9226
Nevada County,8799
Newton County,8064
Ouachita County,25002
Perry County,10345
Phillips County,20399
Pike County,11177
Poinsett County,24145
Polk County,20406
Pope County,62547
Prairie County,8374
Pulaski County,391284
Randolph County,17692
St. Francis County,27260
Saline County,114404
Scott County,10950
Searcy County,8023
Sebastian County,127342
Sevier County,17366
Sharp County,17049
Stone County,12581
Union County,40694
Van Buren County,16932
Washington County,216410
White County,78483
Woodruff County,7072
Yell County,21893
Alameda County,1578891
Alpine County,1159
Amador County,36519
Butte County,222090
Calaveras County,44515
Colusa County,21358
Contra Costa County,1094205
Del Norte County,27873
El Dorado County,181737
Fresno County,955272
Glenn County,27940
Humboldt County,134493
Imperial County,176584
Inyo County,18467
Kern County,864124
Kings County,150960
Lake County,63860
Lassen County,32163
Los Angeles County,10017068
Madera County,152389
Marin County,258365
Mariposa County,17755
Mendocino County,87192
Merced County,263228
Modoc County,9147
Mono County,14074
Monterey County,428826
Napa County,140326
Nevada County,98200
Orange County,3114363
Placer County,367309
Plumas County,18859
Riverside County,2292507
Sacramento County,1462131
San Benito County,57600
San Bernardino County,2088371
San Diego County,3211252
"San Francisco, City and County of[k]",837442
San Joaquin County,704379
San Luis Obispo County,276443
San Mateo County,747373
Santa Barbara County,435697
Santa Clara County,1862041
Santa Cruz County,269419
Shasta County,178980
Sierra County,3047
Siskiyou County,43799
Solano County,424788
Sonoma County,495025
Stanislaus County,525491
